"";"key";"numDMI";"Criterio"
"333";"0013a20040ebcc85";"AA0665";"sin datos 1 mes"
"334";"0013a20040ebcc91";"AA0666";"sin datos 1 mes"
"335";"0013a20040ebcca8";"AA0667";"sin datos 1 mes"
"336";"0013a20040ebcc93";"AA0670";"sin datos 1 mes"
"337";"0013a20040ebccae";"AA0672";"sin datos 1 mes"
"338";"0013a20040ebccbb";"AA0673";"sin datos 1 mes"
"339";"0013a20040ebccbd";"AA0677";"sin datos 1 mes"
"340";"0013a20040ebcc82";"AA0679";"sin datos 1 mes"
"341";"0013a20040ebcc87";"AA0680";"sin datos 1 mes"
"342";"0013a20040ebcc8c";"AA0681";"sin datos 1 mes"
"343";"0013a20040ebcc9a";"AA0683";"sin datos 1 mes"
"344";"0013a20040ebcd4d";"AA0685";"sin datos 1 mes"
"345";"0013a20040ebaece";"AA0686";"sin datos 1 mes"
"346";"0013a20040ebaebc";"AA0687";"sin datos 1 mes"
"347";"0013a20040ebaecc";"AA0690";"sin datos 1 mes"
"348";"0013a20040ebaeb6";"AA0691";"sin datos 1 mes"
"349";"0013a20040ebaec2";"AA0693";"sin datos 1 mes"
"350";"0013a20040ebaeb3";"AA0698";"sin datos 1 mes"
"351";"0013a20040ebaeb5";"AA0701";"sin datos 1 mes"
"352";"0013a20040ebaeb4";"AA0702";"sin datos 1 mes"
"353";"0013a20040ebaeb0";"AA0703";"sin datos 1 mes"
"354";"0013a20040ebaeae";"AA0705";"sin datos 1 mes"
"355";"0013a20040ebaead";"AA0707";"sin datos 1 mes"
"356";"0013a20040ebaeb2";"AA0708";"sin datos 1 mes"
"357";"0013a20040ebaeaa";"AA0709";"sin datos 1 mes"
"358";"0013a20040ebae20";"AA0711";"sin datos 1 mes"
"359";"0013a20040ebae1a";"AA0712";"sin datos 1 mes"
"360";"0013a20040ebae1b";"AA0713";"sin datos 1 mes"
"361";"0013a20040ebadf2";"AA0717";"sin datos 1 mes"
"362";"0013a20040ebadee";"AA0718";"sin datos 1 mes"
"363";"0013a20040ebae16";"AA0719";"sin datos 1 mes"
"364";"0013a20040ebae0e";"AA0722";"sin datos 1 mes"
"365";"0013a20040ebae0f";"AA0724";"sin datos 1 mes"
"366";"0013a20040ebae0b";"AA0727";"sin datos 1 mes"
"367";"0013a20040ebae12";"AA0729";"sin datos 1 mes"
"368";"0013a20040ebca1a";"AA0730";"sin datos 1 mes"
"369";"0013a20040ebadcc";"AA0732";"sin datos 1 mes"
"370";"0013a20040f5ca65";"AA0736";"sin datos 1 mes"
"371";"0013a20040f5ca6e";"AA0739";"sin datos 1 mes"
"372";"0013a20040ebb1e8";"AA0740";"sin datos 1 mes"
"373";"0013a20040f5ca6d";"AA0742";"sin datos 1 mes"
"374";"0013a20040f5ca70";"AA0743";"sin datos 1 mes"
"375";"0013a20040f5ca71";"AA0744";"sin datos 1 mes"
"376";"0013a20040f5ca66";"AA0745";"sin datos 1 mes"
"377";"0013a20040f5ca82";"AA0748";"sin datos 1 mes"
"378";"0013a20040f5ca77";"AA0752";"sin datos 1 mes"
"379";"0013a20040f5ca74";"AA0753";"sin datos 1 mes"
"380";"0013a20040f5ca72";"AA0756";"sin datos 1 mes"
"381";"0013a20040f5ca76";"AA0757";"sin datos 1 mes"
"382";"0013a20040ebb173";"AA0762";"sin datos 1 mes"
"383";"0013a20040ebb184";"AA0764";"sin datos 1 mes"
"384";"0013a20040ebb17a";"AA0765";"sin datos 1 mes"
"385";"0013a20040ebb17f";"AA0766";"sin datos 1 mes"
"386";"0013a20040ebb180";"AA0767";"sin datos 1 mes"
"387";"0013a20040ebb18c";"AA0768";"sin datos 1 mes"
"388";"0013a20040ebb193";"AA0769";"sin datos 1 mes"
"389";"0013a20040ebb19a";"AA0770";"sin datos 1 mes"
"390";"0013a20040ebb17e";"AA0772";"sin datos 1 mes"
"391";"0013a20040ebb18b";"AA0773";"sin datos 1 mes"
"392";"0013a20040ebb142";"AA0774";"sin datos 1 mes"
"393";"0013a20040ebb137";"AA0776";"sin datos 1 mes"
"394";"0013a20040ebb17c";"AA0777";"sin datos 1 mes"
"395";"0013a20040ebb18d";"AA0778";"sin datos 1 mes"
"396";"0013a20040ebb181";"AA0779";"sin datos 1 mes"
"397";"0013a20040ebb139";"AA0780";"sin datos 1 mes"
"398";"0013a20040ebb187";"AA0781";"sin datos 1 mes"
"399";"0013a20040ebb13e";"AA0782";"sin datos 1 mes"
"400";"0013a20040ebb13f";"AA0784";"sin datos 1 mes"
"401";"0013a20040ebb141";"AA0785";"sin datos 1 mes"
"402";"0013a20040ebaf5c";"AA0786";"sin datos 1 mes"
"403";"0013a20040ebaf6e";"AA0787";"sin datos 1 mes"
"404";"0013a20040ebaf72";"AA0788";"sin datos 1 mes"
"405";"0013a20040ebaf70";"AA0790";"sin datos 1 mes"
"406";"0013a20040ebaf55";"AA0791";"sin datos 1 mes"
"407";"0013a20040ebaf36";"AA0794";"sin datos 1 mes"
"408";"0013a20040ebaf4c";"AA0795";"sin datos 1 mes"
"409";"0013a20040ebaf68";"AA0796";"sin datos 1 mes"
"410";"0013a20040ebaf6b";"AA0797";"sin datos 1 mes"
"411";"0013a20040ebaf61";"AA0798";"sin datos 1 mes"
"412";"0013a20040ebaf66";"AA0799";"sin datos 1 mes"
"413";"0013a20040ebaf6c";"AA0800";"sin datos 1 mes"
"414";"0013a20040ebaf50";"AA0804";"sin datos 1 mes"
"415";"0013a20040ebaf60";"AA0806";"sin datos 1 mes"
"416";"0013a20040ebaf57";"AA0807";"sin datos 1 mes"
"417";"0013a20040ebaf51";"AA0809";"sin datos 1 mes"
"418";"0013a20040ebaf4b";"AA0810";"sin datos 1 mes"
"419";"0013a20040ebaca0";"AA0811";"sin datos 1 mes"
"420";"0013a20040ebaca3";"AA0812";"sin datos 1 mes"
"421";"0013a20040ebacae";"AA0815";"sin datos 1 mes"
