key;numDMI;Criterio
0013a20040ebaea4;AA0953;sin datos 1 mes
0013a20040ebaf30;AA0960;sin datos 1 mes
0013a20040ebaf3b;AA0962;sin datos 1 mes
0013a20040ebaf39;AA0963;sin datos 1 mes
0013a20040ebaf6d;AA0964;sin datos 1 mes
0013a20040ebb03d;AA0967;sin datos 1 mes
0013a20040ebb008;AA0969;sin datos 1 mes
0013a20040ebxxxx;AA0971;sin datos 1 mes
0013a20040ebaf31;AA0973;sin datos 1 mes
0013a20040ebaf3f;AA0974;sin datos 1 mes
0013a20040ebb039;AA0977;sin datos 1 mes
0013a20040ebb03c;AA0979;sin datos 1 mes
0013a20040ebb03f;AA0980;sin datos 1 mes
0013a20040ebb03b;AA0981;sin datos 1 mes
0013a20040ebb03e;AA0982;sin datos 1 mes
0013a20040ebb035;AA0983;sin datos 1 mes
0013a20040ebb03a;AA0984;sin datos 1 mes
0013a20040ebb02a;AA0988;sin datos 1 mes
0013a20040ebaf29;AA0991;sin datos 1 mes
0013a20040ebb028;AA0993;sin datos 1 mes
0013a20040ebb006;AA0994;sin datos 1 mes
0013a20040ebb037;AA0995;sin datos 1 mes
0013a20040ebb031;AA0997;sin datos 1 mes
0013a20040ebb001;AA0998;sin datos 1 mes
0013a20040ebaff6;AA0999;sin datos 1 mes
0013a20040f526d9;AA1000;sin datos 1 mes
0013a20040ebb036;AA1001;sin datos 1 mes
0013a20040ebb02f;AA1004;sin datos 1 mes
0013a20040ebb02e;AA1006;sin datos 1 mes
0013a20040ebb032;AA1007;sin datos 1 mes
0013a20040ebb038;AA1010;sin datos 1 mes
0013a20040ebafd6;AA1013;sin datos 1 mes
0013a20040ebafeb;AA1015;sin datos 1 mes
